ID,ra,dec,redshift,u,g,r,i,z,type,v_pec
1237661949737435515,230.74936814240695,8.755389438102501,0.029871948,-18.091648,-20.499895,-19.762447,-20.874352,-21.12291,-0.20744872093200684,-1196.86543117197
1237662198821880054,230.90196126807626,8.459636268287179,0.03231297,-16.358343,-18.544737,-17.82511,-18.90095,-19.202242,-1.8275421857833862,-489.1285013730559
1237662199358750987,230.9643829272128,8.842394104064764,0.038326994,-17.866932,-19.645327,-19.095657,-19.8006,-19.96982,5.3047356605529785,1254.5456160650408
1237661949737500795,230.91330659355776,8.759087306017278,0.034281764,-18.146471,-20.714905,-19.957348,-21.091223,-21.38462,-2.45570707321167,81.69315487032017
1237662198821879932,230.83495474350212,8.404358035357593,0.03240646,-17.290245,-19.573896,-18.863626,-19.915327,-20.195786,0.05900883674621582,-462.0225082411231
1237662198821814556,230.7326227059153,8.521303207282783,0.038565017,-18.350458,-19.970713,-19.47315,-20.195858,-20.327904,4.07556676864624,1323.55673814486
1237662198821748870,230.65467790810456,8.472222647988486,0.0313381,-17.533781,-19.834835,-19.1042,-20.195435,-20.473526,-2.195413112640381,-771.7771218087046
1237661949737435272,230.80169171471775,8.622848535395255,0.028502388,-16.183287,-18.249357,-17.545656,-18.57747,-18.85254,-2.3366270065307617,-1593.9483700293003
1237661949200564454,230.6754303299896,8.368829295026893,0.03243709,-16.53876,-18.786568,-17.943922,-19.225412,-19.51627,3.004840850830078,-453.14180902589965
1237662199358750914,231.03075493090194,8.795909837999666,0.035949517,-16.740402,-19.560713,-18.83286,-19.941494,-20.197206,-1.9114741086959839,565.2325854378969
1237662198821814575,230.72995232956467,8.400235705150548,0.03181002,-17.035213,-19.395283,-18.69406,-19.746859,-20.01247,1.0411202907562256,-634.951148134275
1237662199358685454,230.81186079881184,8.828977154603917,0.034020152,-16.298468,-18.630796,-17.924322,-18.958473,-19.1869,-2.183105945587158,5.842763649530612
1237662199358751001,230.98683693369608,8.953202510130057,0.03511985,-16.33652,-18.388487,-17.68098,-18.732729,-18.937628,-2.422740936279297,324.68335018500926
1237661949737435498,230.72112442716144,8.677663696310558,0.037785154,-17.325016,-19.707115,-18.976208,-20.050835,-20.31314,-2.14678955078125,1097.4474096407464
1237662198821748956,230.5751494377281,8.579903765813679,0.035954308,-17.875578,-20.25778,-19.523851,-20.628153,-20.893131,-2.1295361518859863,566.6216624845865
1237662199358685477,230.821606456249,8.813134087065189,0.03697097,-17.508757,-19.494957,-18.852463,-19.826525,-20.065922,2.1133148670196533,861.387233021527
1237662198821814372,230.76221535555473,8.456594624025023,0.034310564,-17.057667,-19.313126,-18.593704,-19.657719,-19.927008,-2.115817070007324,90.04327362312551
1237662199358685469,230.8140509831733,8.783946825122067,0.03325941,-15.728343,-18.046808,-17.378675,-18.366163,-18.539242,-2.2386274337768555,-214.7227238590133
1237661949737500969,230.8412250790784,8.580086801409015,0.030529799,-15.990273,-18.219671,-17.517662,-18.538998,-18.80547,-2.288590431213379,-1006.1316127118557
1237661949737435479,230.71061577824415,8.71210077834496,0.03016991,-16.140684,-18.451658,-17.708372,-18.785006,-18.999054,-1.579703450202942,-1110.4759143725537
1237661949737369900,230.62577224139437,8.677610920825867,0.0348736,-16.88088,-19.48411,-18.714006,-19.846949,-20.139389,-2.417069911956787,253.2869355017394
1237662198821814375,230.79327476113994,8.505346238728713,0.035870377,-17.993692,-20.37365,-19.636976,-20.730486,-20.995577,-2.018688678741455,542.2871549484196
1237662199358751025,230.99959454892505,8.806677433787737,0.036704857,-16.890875,-18.517683,-18.129442,-18.63732,-18.736149,4.364160060882568,784.2318458109336
1237661949737369844,230.59307063273258,8.645008876423887,0.036009494,-17.294779,-19.625452,-18.882988,-19.991825,-20.274836,0.8681418895721436,582.6219976752922
1237661949737435647,230.83542796711365,8.722837989881734,0.036200523,-18.08569,-19.868261,-19.263252,-20.191801,-20.452168,0.8659712672233582,638.0079294540935
1237661949737435619,230.81652990341897,8.748479920272974,0.033532605,-17.766987,-20.130903,-19.381165,-20.50749,-20.773314,-2.2393484115600586,-135.51401925233142
1237661949737369663,230.62593217794512,8.650728344060688,0.036666684,-15.328024,-17.998434,-17.293655,-18.323042,-18.563429,-1.6807209253311157,773.1641693126408
